keeping	speaker	age	gender	ethnicity	race	disorder	disorder_exp	dominant_lg	home_lg	born_us	three_months_outside_us	three_months_location	l1	l1_aoa	l1_prof	l1_percentage	l2	l2_aoa	l2_prof	l2_percentage	spanish_native	spanish_geographical	spanish_dialect	spanish_dialect_type	spanish_mexican_dialect	spanish_mexican_dialect_type	spanish_prof_speaking	spanish_prof_understanding	spanish_prof_reading	spanish_accent_self	spanish_accent_others	english_native	english_geographical	english_dialect	english_dialect_type	english_prof_speaking	english_prof_understanding	english_prof_reading	english_accent_self	english_accent_others	age_spanish	age_english	comfort_spanish	comfort_english	use_predominantly	use_math	accent	use_life	school_spanish	school_english	lost_fluency	lost_fluency_lg	lost_fluency_age	current_country
no	sub_01	20	female	hispanic	white	no	NA	english	both	yes	no	NA	english	0	10	75	spanish	0	6	25	no	united_states	standard	NA	yes	tijuana	4	10	7	4	5	yes	united_states	standard	NA	10	10	10	0	0	0	0	7	5	both	english	spanish	english	2	14	yes	spanish	10	united_states
yes	sub_02	19	female	hispanic	NA	no	NA	english	spanish	yes	no	NA	english	5	10	85	spanish	2	9	10	yes	united_states_california	standard	NA	yes	guadalajara	9	10	9	1	0	no	united_states_california	standard	NA	10	10	10	0	0	1	5	2	6	both	english	neither	english	0	14	no	NA	NA	united_states
yes	sub_03	26	male	hispanic	white	no	NA	english	english	yes	no	NA	spanish	0	7	10	english	2	10	90	yes	united_states_san_diego	dialectal	mexican	yes	NA	7	8	6	0	0	no	united_states_san_diego	standard	NA	10	10	10	0	0	0	2	3	3	spanish	english	neither	english	0	15	yes	spanish	21	united_states
no	sub_04	19	female	hispanic	white	no	NA	equal	spanish	yes	no	NA	english	6	7	50	spanish	6	9	50	yes	united_states_san_diego	NA	NA	yes	northern_region	8	10	6	5	0	no	united_states_san_diego	standard	NA	8	10	9	5	10	6	6	not_yet	not_yet	spanish	english	spanish	english	1	11	yes	spanish	12	united_states
no	sub_05	20	female	hispanic	NA	no	NA	equal	spanish	yes	yes	mexico	spanish	0	10	50	english	2	10	50	yes	united_states_los_angeles	standard	NA	yes	mexico_city	9	9	9	0	0	yes	united_states_los_angeles	standard	NA	10	10	10	0	0	0	2	2	4	spanish	english	neither	english	3	12	no	NA	NA	united_states
yes	sub_06	18	female	hispanic	NA	no	NA	equal	spanish	yes	yes	mexico	english	5	8	80	spanish	0	8	20	yes	united_states_san_diego	standard	NA	yes	mexico_city	8	8	8	1	1	no	united_states	standard	NA	8	8	8	4	5	0	5	3	7	spanish	english	english	english	5	15	yes	spanish	12	united_states
yes	sub_07	22	female	hispanic	NA	no	NA	equal	spanish	yes	no	NA	english	3	9	75	spanish	1	9	25	yes	united_states_los_angeles	standard	NA	yes	guadalajara	9	10	9	6	5	no	united_states_los_angeles	standard	NA	9	9	10	7	3	1	3	4	6	spanish	english	both	spanish	7	16	yes	spanish	19	united_states
yes	sub_08	19	female	hispanic	white	no	NA	equal	spanish	yes	yes	mexico	english	10	10	55	spanish	0	10	45	yes	mexico_mexicali	standard	NA	yes	northern_region	10	10	10	0	0	no	united_states_calexico	standard	NA	10	10	10	3	0	0	10	0	12.5	spanish	english	neither	english	9	9	no	NA	NA	united_states
yes	sub_09	26	female	hispanic	american_indian	no	NA	english	english	no	NA	NA	english	4	7	95	spanish	1	4	5	yes	united_states_san_diego	dialectal	border_spanish	yes	queretaro	5	9	7	3	1	yes	united_states_san_diego	standard	NA	9	9	9	1	2	0	4	5	4	english	english	neither	spanish	3	23	yes	spanish	NA	united_states
no	sub_10	26	female	hispanic	white	no	NA	equal	spanish	yes	no	NA	english	2	9	50	spanish	2	9	50	yes	united_states_san_francisco	standard	NA	yes	NA	9	10	9	1	0	yes	united_states_san_francisco	standard	NA	10	9	10	0	0	2	2	3	3	spanish	both	neither	spanish	9	12	no	NA	NA	united_states
yes	sub_11	20	female	hispanic	white	no	NA	spanish	spanish	yes	yes	mexico	spanish	0	10	40	english	6	7	60	yes	mexico	standard	NA	yes	tijuana	10	10	10	0	0	no	mexico	standard	NA	7	9	8	5	3	0	6	0	15	spanish	both	english	spanish	8	10	no	NA	NA	united_states
no	sub_12	22	female	hispanic	NA	no	NA	english	both	yes	no	NA	english	0	9	95	spanish	0	6	5	yes	united_states_arizona	NA	NA	yes	northern_region	8	9	8	2	0	no	united_states_arizona	standard	NA	10	10	10	0	0	0	0	8	8	both	english	both	english	0	18	yes	spanish	12	united_states
